apple яблоко
book книга
car машина
cat кот
dog собака
eat есть
drink пить
go идти
have иметь
house дом
love любить
man мужчина
run бежать
see видеть
sit сидеть
sleep спать
study учиться
teach учить
walk гулять
woman женщина
work работать
write писать
read читать
speak говорить
talk разговаривать
listen слушать
hear слышать
watch смотреть
look смотреть
buy покупать
sell продавать
give давать
take брать
find находить
lose терять
think думать
know знать
understand понимать
want хотеть
need нуждаться
like нравиться
live жить
play играть
sing петь
dance танцевать
travel путешествовать
visit посещать
call звонить
answer отвечать
ask спрашивать
tell рассказывать
show показывать
help помогать
wait ждать
start начинать
finish заканчивать
open открывать
close закрывать
bring приносить
carry нести
wear носить (одежду)
use использовать
create создавать
build строить
make делать
do делать
say говорить
tell рассказывать
think думать
believe верить
feel чувствовать
hope надеяться
wish желать
remember помнить
forget забывать
try пытаться
manage управлять
change менять
move двигать
stay оставаться
remain оставаться
become становиться
begin начинать
continue продолжать
stop останавливать
decide решать
choose выбирать
win выигрывать
lose проигрывать
wait ждать
meet встречать
know знать
learn учить
teach учить
explain объяснять
understand понимать
